2026-06-27 12:37:21,208 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------R32-001100----------.json
2026-06-27 12:37:21,209 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------R32-001300----------.json
2026-06-27 12:37:21,209 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------R32-001200----------.json
2026-06-27 12:37:21,209 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------R32-001400----------.json
2026-06-27 12:37:21,209 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------R32-000600----------.json
2026-06-27 12:37:21,209 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------R32-001000----------.json
2026-06-27 12:37:21,209 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEWSINGLES-----------R32-000900----------.json
2026-06-27 12:37:21,210 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEMSINGLES-----------R32-000300----------.json
2026-06-27 12:37:21,210 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEXDOUBLES-----------QFNL000200----------.json
2026-06-27 12:37:21,210 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEXDOUBLES-----------QFNL000400----------.json
2026-06-27 12:37:21,210 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEXDOUBLES-----------QFNL000300----------.json
2026-06-27 12:37:21,210 - INFO - Event 3241: Saved match details (from officialresult.json) to data/wtt_matches/3241/TTEXDOUBLES-----------QFNL000100----------.json
